image_path,label,class_name
C:\Users\25185\Desktop\X\train\img_024250.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_012828.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_013920.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_022046.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_016795.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_020075.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_018663.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_000667.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_019109.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_021053.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_014579.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_017017.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_017391.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_023372.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_020101.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_001183.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_024868.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_019598.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_002712.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_019441.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_008586.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_013918.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_013590.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_005625.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_015074.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_019163.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_018171.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_015602.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_003973.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_020180.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_024618.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_020354.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_008447.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_018411.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_001218.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_006932.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_020938.jpg,0,default_class
C:\Users\25185\Desktop\X\train\img_024034.jpg,0,default_class
